id,interest_rate,internal_rating,maturity,dti_ratio,risk_free,yearly_payment
1,13.8,C,5,16,1.72,3410.64
2,30.92,HR,3,49,1.72,1044.24
3,20.66,D,5,31,1.72,4936.68
4,14.05,C,5,30,1.72,6244.2
5,30.25,HR,3,46,1.72,2070.72
6,5.3,AA,5,20,1.72,3666.96
7,11.36,B,3,28,1.72,12019.2
8,7.51,A,3,27,1.72,1894.32
9,30.53,HR,5,40,1.72,2078.16
10,16.89,C,5,19,1.72,6497.52
11,6.2,A,3,23,1.72,4774.92
12,19.13,D,3,32,1.72,4781.88
13,12.15,B,3,36,1.72,6077.88
14,23.05,D,3,37,1.72,3351.96
15,30.53,HR,3,52,1.72,3896.4
16,6.91,A,5,30,1.72,4506.48
17,5.9,AA,3,29,1.72,5179.68
18,10.7,B,3,26,1.72,1984.32
19,6.91,A,3,27,1.72,1502.16
20,9.09,A,5,25,1.72,2714.04
21,10.59,B,5,29,1.72,3966.84
22,16.22,C,3,13,1.72,2996.52
23,4.32,AA,3,11,1.72,5420.64
24,9.47,A,5,22,1.72,2339.52
25,22.44,E,5,18,1.72,3071.88
26,6.51,AA,5,30,1.72,2613.36
27,15.29,C,5,15,1.72,3524.04
28,26.2,E,3,46,1.72,7367.88
29,13.46,C,3,42,1.72,4128.12
30,13.46,C,3,23,1.72,7052.28
31,16.45,C,5,25,1.72,6888.36
32,19.95,D,3,30,1.72,3162.6
33,11.1,B,3,24,1.72,3478.08
34,25.59,E,3,17,1.72,7308.96
35,9.49,B,3,16,1.72,3119.76
36,11.64,B,5,18,1.72,4062.48
37,5.9,AA,3,22,1.72,7399.56
38,13.25,C,3,16,1.72,2263.8
39,30.92,HR,3,27,1.72,3915.96
40,26.34,E,5,34,1.72,3688.68
41,24.99,D,5,41,1.72,3867.36
42,8.06,A,3,54,1.72,3819.36
43,16.7,C,3,35,1.72,5832.36
44,30.25,HR,5,26,1.72,3882.48
45,18.24,C,3,34,1.72,10011.96
46,6.9,A,5,23,1.72,1689.72
